Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4020.58320615973,4105.52074835393,4243.77461395001,3965.38272260404,3624.29263348752,3263.37185713051,2797.56840598447,2166.69302080634,1917.45137153295,1741.08871439694,1704.3140236587,1686.94178709922,1699.51747282766,1817.99710109357,2005.31514152877,2130.65855856673,2349.93150771578,2654.33354768562,2746.04980202904,2966.50006223766,3220.01355748416,3311.95840954095,2834.34324513462,2965.14236549771,3138.46507001494,3153.73924469198,3160.08373580159,3123.91557226248,2828.88539029976,2905.85744034369
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102479.189047038,102319.727510556,107452.180372559,92822.3616132218,100480.436773847,113682.03823948,110644.551555293,97254.0615122917,87942.9026834342,86936.8490903108,79439.2866216746,63832.1312558628,62248.9287571022,57136.0525973972,60523.2281357935,67606.9169169634,64386.0911141135,62821.1576884704,60133.1929559932,60932.2776388942,61818.2337806713,62294.1289653605,64176.4841632677,61231.2297222283,59845.037041274,62833.2510686303,60434.6739793095,58707.0071649096,59867.2899389479,60042.597356397,56199.0292690569,53926.5970989762,48260.0109066643,43658.9447775973,37203.3979926415,35049.1483167837,35550.8312718618,36408.4975467384,38064.00442298,39034.3762753299,40159.5578742307,40864.2498465529
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,United Kingdom,GBR,13869.0572929678,14118.2145554355,14184.8102128019,14636.0533292316,15273.816245269,15599.2564557918,15831.4136351659,16110.2771427447,16670.8830827154,16942.4499724137,17880.3882251343,18425.3892286103,19151.6168024784,20360.1769098602,19844.2185478768,19550.3197123522,20126.4884088339,20629.0273645435,21493.3217903991,22276.2071581382,21795.4482440649,21618.1486674378,22061.8057815275,22985.1007499102,23470.7376307588,24398.0944994053,25109.205033405,26398.7357537333,27864.5902276278,28509.9919020704,28628.6673032304,28220.9094191558,28245.9793727862,28884.7769248857,29930.6755725684,30599.7917696589,31299.8998377832,32195.6756568667,33126.2958055963,34100.0660798751,35250.9236029695,36072.7624964454,36781.4764940873,37879.6159798084,38616.8321327116,39492.4685825102,40184.5045397439,40891.8935643467,40316.8587142954,38281.3960191584,38709.9116622829,38988.1126884646,39226.3364991816,39709.223845648,40621.3130680505,41183.933841816,41602.9818117321
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,United States,USA,17036.8851695882,17142.1937673897,17910.2787901684,18431.1584040472,19231.1718590604,20207.7495376936,21274.1354890107,21569.8356088859,22380.6067673191,22850.010833783,23309.6209459064,23775.2769229658,24760.1453772345,25908.9128017215,25540.5010030208,25239.919905729,26347.809281996,27286.2515144911,28500.2404573534,29082.5937779654,28734.3992597646,29191.9994879416,28362.4946163409,29406.2574686046,31268.9756446518,32306.8330567744,33133.6954441913,33975.6547953064,35083.9690428182,36033.3302026992,36312.4141825874,35803.8684213439,36566.1737698527,37078.04968394,38104.9724675631,38677.7150883663,39681.5198579033,40965.8466450522,42292.8912011426,43768.8849928326,45055.817918284,45047.4871976844,45428.6456781274,46304.0360895612,47614.2798621765,48755.6160606735,49575.401013591,49979.5338429195,49364.6445500336,47575.608562749,48373.8788155779,48783.4685866408,49497.5858531423,49976.6287666224,50782.520695343,51722.0969458768,52194.8857623275
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Upper middle income,UMC,1373.60937070392,1392.62490094544,1425.50368391842,1457.56625722164,1543.92284563983,1613.91347778156,1660.79613301603,1691.87515350131,1772.1515061961,1861.53573306951,1962.94081453771,2044.49890003647,2153.33129339629,2279.7769349153,2373.46979623954,2432.92929124943,2558.38372423383,2614.46612775402,2649.25908121962,2733.19962890383,2805.2097781694,2796.75039682198,2813.802322054,2782.98747314087,2876.58020702959,2960.17637196641,3037.47621356211,3133.34648123887,3170.03462063458,3183.57181989563,3188.94188932068,3181.6917962922,3155.0342357578,3212.77904752105,3247.19173435675,3315.44050816702,3424.84395961098,3562.86230365131,3606.03034476427,3671.36242659217,3856.35994921672,3945.34272875629,4081.53764418218,4261.91118278621,4568.38366050384,4861.82295106267,5225.27942201333,5657.52568312474,5947.32766020707,5994.29483258278,6399.65447961986,6750.98490226943,7028.65953224295,7319.07577795313,7572.25534844699,7766.222804216,7974.60576294406
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Uruguay,URY,5474.62152844477,5539.01895347828,5384.39296428296,5329.62514247412,5397.71013101839,5395.15088808434,5502.52337475652,5248.84142520492,5300.41824412985,5570.57639694356,5670.61071633494,5639.34365818319,5558.67813059774,5572.70755832164,5730.02016328356,6066.26498265281,6280.02226354787,6336.46762299532,6633.19981088448,6995.61217892939,7354.22754179117,7419.91440182835,6652.26757735578,5930.28403133719,5824.94646889023,5872.5709553181,6349.60397061687,6814.58133872912,6872.3892595771,6903.5250046641,6877.28717457157,7070.50589818388,7576.14608928289,7720.46660275118,8221.94944536616,8044.64175043668,8432.62114245025,9089.12290666126,9438.88305694218,9207.79228921198,8997.66012496864,8636.54526827471,7967.16256683532,8036.47922624006,8442.54955755894,9068.23921159891,9424.51699380651,10014.8720200543,10698.052015718,11112.4560332721,11938.2120047097,12512.9134818312,12913.1040795096,13467.4378393048,13856.6951843558,13859.4073976697,14009.9984403322
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,940.46618354381,1001.60291599695,1007.86637578537,997.487614193014,971.640668629838,842.824373037109,804.938107591491,748.247327901199,728.23518460811,726.584152399542,750.091377017855,769.854324665772,794.349388736295,813.203769489388,836.698654503859,859.582127695114,885.322126922401,942.554054569169,996.868052119251,1056.66681266117,1145.08380676931,1228.26456536303,1305.53821306914,1377.08214046938,1451.88350530969,1547.98156043502,1645.91072139771,1744.49124286927,1851.47277905238,1961.46369815488
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2400.02106449291,2070.29832017892,2103.61274896098,2273.95278495689,2529.88605896926,2710.38428146219,2675.27274408763,2611.26965427321,2478.19578234645,2379.13630311166,2356.71937238963,2564.65398512152,2572.46665240519,2563.23999847502,2508.61908317948,2662.60251687078,2625.16277108758,2630.53036580676,2709.3414331922,2777.02282217083,2736.12334026525,2839.9324726124,2679.65554297233,2481.52293136115,2522.92281404708,2556.89943357105,2625.26906802965,2777.66595589624,2850.72304789954,2962.0082239378,2987.93516991805,2965.80243434839,2932.87208142875,2916.63935343787,2907.61023080067,2909.77541758113,2823.70782875692,2873.69293665534
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Venezuela, RB",VEN,12449.4994172367,12368.9493552823,12922.1040177061,12926.5715036173,13840.8539413906,13905.7195492934,13629.5624852044,13545.9784585488,14066.9633734264,13720.5754865802,14329.419572883,14115.006194518,13890.4157765252,14465.325238529,14358.9506377002,14369.0295970089,15053.3762581753,15557.2658460224,15485.9592521845,15180.2396888811,14119.3214013969,13695.116109925,13060.0880365412,12242.0742619946,12097.9711367185,11809.6182833833,12256.1078101108,12371.9888370891,12763.5743658404,11383.3597081306,11830.6326820489,12681.5732156537,13148.1442946352,12896.4223336048,12325.100207673,12545.1973689765,12265.3092111554,12786.9902764532,12574.6902183046,11597.9454156517,11799.8331310304,11975.3308170734,10717.1389195076,9710.26529736457,11285.8225266766,12237.8829531152,13221.4206604979,14143.6579502867,14652.17842463,13961.8857748738,13545.2058384559,13902.4522897544,14473.4698521084,14462.3581809876,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,389.421522981552,396.166836228331,397.883040802694,402.122860700005,412.660889392721,432.716179258077,446.227723987527,464.207938891304,495.445186819819,526.258351124937,563.231291719037,606.931363538888,653.085384784221,695.392209942484,724.274502746778,747.550360105361,787.654150892408,825.904513252723,867.982429789999,917.144770018116,974.529145706005,1035.92217009178,1095.98245226292,1161.47157286995,1214.25245792541,1266.31350863825,1333.58352396677,1401.8418086487,1459.63736620914,1522.48588485741,1596.34569483997,1684.69149023709,1770.25790638086
